"model1" "model2" "MEC1" "MEC2" "IAS1" "IAS2" "NF1" "NF2" "MSE_Train1" "MSE_Train2" "MSE_Test1" "MSE_Test2" "MSE_Test_MEC_prop1" "MSE_Test_MEC_prop2" "Base_Ret1" "Base_Ret2" "Hedge_Ret1" "Hedge_Ret2"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "9.41040564917138e-07" "5.98764174446548e-06" "1.01924452194736e-06" "4.14936935208868e-05" "1.01924452194736e-06" "4.14936935208868e-05" "0.0468204320426623" "0.0468204320426623" "0.00101210746639099" "0.0157866177547726"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "9.15583774335829e-07" "8.09560287007999e-06" "1.01076482002279e-06" "4.24895246475893e-05" "1.01076482002279e-06" "4.24895246475893e-05" "0.0476303803960843" "0.0476303803960843" "0.00100414720784767" "0.0138514773417372"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "9.38149679365349e-07" "6.80159079562247e-06" "9.94428771328332e-07" "8.72020978289139e-05" "9.94428771328331e-07" "8.72020978289139e-05" "0.0492666840006471" "0.0492666840006471" "0.000995561242923733" "0.0180345265512683"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "1.03459390867098e-06" "7.89765478126261e-06" "1.05906888567236e-06" "1.94809414587833e-05" "1.05906888567236e-06" "1.94809414587833e-05" "0.0450896915728469" "0.0450896915728469" "0.00102331805607981" "0.0131639221013612"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "9.9435297576646e-07" "6.3000632677271e-06" "1.01348769939612e-06" "3.41658845440783e-05" "1.01348769939612e-06" "3.41658845440783e-05" "0.0465744686545809" "0.0465744686545809" "0.00100385444714317" "0.0145204095094075"
"1" "lm" "svmRadial" "1" "1.21133315556724" "0" "0.01" "3" "3" "9.70236731478669e-07" "6.98469585103382e-06" "1.16295594886913e-06" "2.77299314727669e-05" "1.16295594886913e-06" "3.35901853945702e-05" "0.0461459404858394" "0.0461459404858394" "0.00108023016055287" "0.0169921203588156"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "1.06075992272378e-06" "6.86528372532046e-06" "1.02314132885659e-06" "6.61356714664615e-05" "1.02314132885659e-06" "6.61356714664615e-05" "0.0478715961238115" "0.0478715961238115" "0.0010080482849459" "0.0139569620439757"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "9.71844027928354e-07" "6.9983362409872e-06" "9.68603737193923e-07" "4.57620206665586e-05" "9.68603737193923e-07" "4.57620206665586e-05" "0.0481197776308313" "0.0481197776308313" "0.000987180381047673" "0.0204649810809399"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "9.50890281347639e-07" "6.36366590259217e-06" "9.9072072373437e-07" "0.000140576271638401" "9.9072072373437e-07" "0.000140576271638401" "0.046779928670268" "0.046779928670268" "0.000995512726897538" "0.0163540340891383"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "9.81668718324895e-07" "6.62428010307329e-06" "9.90051322178686e-07" "4.28882393781811e-05" "9.90051322178686e-07" "4.28882393781811e-05" "0.049260157647512" "0.049260157647512" "0.00100043144350939" "0.017616959041771"
"1" "lm" "svmRadial" "1" "1.42120844795032" "0" "0.01" "3" "3" "1.03863295067356e-06" "7.80427125632422e-06" "9.02008424019978e-07" "4.63987154871865e-05" "9.02008424019978e-07" "6.59422464244327e-05" "0.0465492684292724" "0.0465492684292724" "0.000948734248165873" "0.0188697127224358"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "1.13939487478946e-06" "6.63747916003427e-06" "1.00907023311273e-06" "0.000111615151817621" "1.00907023311273e-06" "0.000111615151817621" "0.0485799600511948" "0.0485799600511948" "0.00100719135680976" "0.0174375434567428"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "1.01428531407025e-06" "7.23364238291179e-06" "9.13277880127743e-07" "5.89212650613746e-05" "9.13277880127743e-07" "5.89212650613746e-05" "0.0484667074600372" "0.0484667074600372" "0.000946766046518387" "0.0172220155502782"
"1" "lm" "svmRadial" "1" "1.1855545871517" "0" "0.01" "3" "3" "1.07588510541714e-06" "6.55652184553416e-06" "9.08321003956602e-07" "6.34410058913526e-05" "9.08321003956602e-07" "7.52127755480108e-05" "0.048162477757099" "0.048162477757099" "0.000951991368158889" "0.0195327209894719"
